1,Тварини та зоотовари
2,,Товари для домашніх тварин
3,,,Товари для птахів
503722,,,,Лабораторні воронки
6975,,,Біохімічні речовини
7325,,,Набори для розтину
8119,,,Лабораторні зразки
1795,,Важке обладнання
2072,,,Дробарки
1813,,Фінанси та страхування
7565,,,Бульйон
1827,,Лісове господарство та заготівля деревини
2047,,Захисне обладнання для безпеки на роботі
2227,,,Захисні окуляри
2389,,,Бронежилети
2723,,,Каски будівельні
2808,,,Костюми для роботи з небезпечними матеріалами
5591,,,Рукавички безпеки
6764,,,Захисні фартухи
7085,,,Робочі страхувальні троси
8269,,,Аксесуари для газових масок та респіраторів
499708,,,Робочі страхувальні пояси
499927,,,Зварювальні шоломи
499961,,,Наколінники безпеки
503724,,,Захисні маски
513,,,,Медичні маски
2349,,,,Маски пожежників
2473,,,,Газові маски та респіратори
7407,,,,Маски від пилу
2155,,Кіно та телебачення
2187,,Гірничо-кар'єрна промисловість
2496,,Медичний
1645,,,Хірургічні халати
1898,,,Лікарняні халати
2907,,,Медичні засоби
511,,,,Одноразові рукавички
7063,,,,Наконечники для пальців
7324,,,,Язикові шпателі
499696,,,,Медичні голки та шприці
543670,,,,,Медичні голки
543671,,,,,Медичні шприці
543672,,,,,Медичні набори голок та шприців
505828,,,,Постачання для остомії
2928,,,Медичні халати
3477,,,Медичне обладнання
3230,,,,Автоматичні зовнішні дефібрилятори
4245,,,,Отоскопи та офтальмоскопи
4364,,,,Стетоскопи
6280,,,,Монітори життєвих показників
6714,,,,Аксесуари для моніторів життєвих показників
6972,,,,Медичні рефлексні молоточки та камертони
7522,,,,Ліфти для пацієнтів
499858,,,,Медичні ноші та транспортабельні ліжка
503006,,,,Пояси для ходьби
5167,,,Медичні меблі
4435,,,,Ліжка для домашнього догляду та лікарень
5168,,,,Столи для хірургії
5169,,,,Крісла та столи для обстеження
5170,,,,Медичні шафи
5171,,,,Медичні візки
